Tokens,Sentences,Tagged,PER_COUNT,ORG_COUNT,LOC_COUNT,
184678,,,3322,2163,4549,10034
26,"Soorajpur police station ke station house officers nay bataya ke jab police ko ittila mili is waqt tak, muster rule mukammal tor par jal chuke they.","<ORG--Soorajpur police station> ke station house officers nay bataya ke jab police ko ittila mili is waqt tak, muster rule mukammal tor par jal chuke they.",0,1,0,
30,Shahi awam aur berooni media ne kayi martaba Vajiralongkorn  ka naam Suthida ke sath joda tha lekin Shahi mehal ki janib se kabhi is baarey mein kuch nahi kaha gaya.,Shahi awam aur berooni media ne kayi martaba <PER--Vajiralongkorn> ka naam <PER--Suthida> ke sath joda tha lekin Shahi mehal ki janib se kabhi is baarey mein kuch nahi kaha gaya.,2,0,0,
21,Hindustan mein munaqidah pichlle muqablon mein 8 mumalik ne hissa liya tha aur yeh 23 khelon ko shaamil kya gaya tha.,<LOC--Hindustan> mein munaqidah pichlle muqablon mein 8 mumalik ne hissa liya tha aur yeh 23 khelon ko shaamil kya gaya tha.,0,0,1,
29,Isi tournament ke Semi Final mein Hindustan ne Harmanpreet Kaur ki Not Out 171 runs ki tofani Inning ke dam par Australia ku 36 runs se shikast di thi.,Isi tournament ke Semi Final mein <LOC--Hindustan> ne <PER--Harmanpreet Kaur> ki Not Out 171 runs ki tofani Inning ke dam par <LOC--Australia> ku 36 runs se shikast di thi.,1,0,2,
9,3 ashray qabal misrion ki tadaad 57 million thi.,3 ashray qabal misrion ki tadaad 57 million thi.,0,0,0,
16,Hajj ke baad ghilaaf ko kaaba ke nichale hissay shazruan se dobarah jood diya jata hai.,Hajj ke baad ghilaaf ko <LOC--kaaba> ke nichale hissay shazruan se dobarah jood diya jata hai.,0,0,1,
31,Sabiq fouji Sanaullah ka maamla aalmi satah par surkhiyoun mein chaaya raha ke hindustani fouj mein apni khidmaat injaam day chuke sabiq fouji ki shehriat ko hi khatam kar diya gaya!,Sabiq fouji <PER--Sanaullah> ka maamla aalmi satah par surkhiyoun mein chaaya raha ke <ORG--hindustani fouj> mein apni khidmaat injaam day chuke sabiq fouji ki shehriat ko hi khatam kar diya gaya!,1,1,0,
26,Sifar se kam darjah hararat ke darmain markazi name fouji dastay ( CRPF ) ke jawab aman-o-qanoon banaye rakhnay ke liye hassas maqamat par tainaat rahay.,Sifar se kam darjah hararat ke darmain markazi name fouji dastay ( <ORG--CRPF> ) ke jawab aman-o-qanoon banaye rakhnay ke liye hassas maqamat par tainaat rahay.,0,1,0,
14,Wizarat phir un muqalon ko China ki markazi intizami Autority State Council ko bejegi.,Wizarat phir un muqalon ko <LOC--China> ki markazi intizami Autority <ORG--State Council> ko bejegi.,0,1,1,
16,World bank ke mutabiq Pakistan mein har saal chay laakh gharon ki talabb barh jati hai.,<ORG--World bank> ke mutabiq <LOC--Pakistan> mein har saal chay laakh gharon ki talabb barh jati hai.,0,1,1,
14,Woh 2004-09 mein mutahidda Andhra Pradesh mein riyasti Assembly ke Speaker rah chuke hain.,Woh 2004-09 mein <LOC--mutahidda Andhra Pradesh> mein riyasti Assembly ke Speaker rah chuke hain.,0,0,1,
17,Adalat ney is par faisla sunanay ke liye jummay ko dopehar 2 bajey ka waqt muqarrar kya.,Adalat ney is par faisla sunanay ke liye jummay ko dopehar 2 bajey ka waqt muqarrar kya.,0,0,0,
11,Gotabaya Rajapaksa ne Srilanka ke sadaarti intikhabaat may kamyabi haasil ki,<PER--Gotabaya Rajapaksa> ne <LOC--Srilanka> ke sadaarti intikhabaat may kamyabi haasil ki,1,0,1,
19,Tibbi amlah ahal khanah ke coronavirus se mutasir honay ke khauf ki wajah se apne ghar nahi jata tha.,Tibbi amlah ahal khanah ke coronavirus se mutasir honay ke khauf ki wajah se apne ghar nahi jata tha.,0,0,0,
21,muslim khatoon ny francesi shehri hamza se 2010 mein shadi ke baad April 2017 mein shehriat ke liye darkhwast di thi.,muslim khatoon ny francesi shehri <PER--hamza> se 2010 mein shadi ke baad April 2017 mein shehriat ke liye darkhwast di thi.,1,0,0,
14,"Arnab Goswami ki bolti band karne walay Kunal Kamra par pabandi, Saza ya zulm","<PER--Arnab Goswami> ki bolti band karne walay <PER--Kunal Kamra> par pabandi, Saza ya zulm",2,0,0,
7,un ki walida ka naam Venkatalakshmamma tha.,un ki walida ka naam <PER--Venkatalakshmamma> tha.,1,0,0,
33,"Nizamat Jismani taleem o khel kood, Maulana Azad National Urdu University ke zair e ihtimaam jari pehlay azad Round Robin league cricket Tournament  mein mezbaan team ne musalsal doosri kamyabi darj ki hai.","Nizamat Jismani taleem o khel kood, <ORG--Maulana Azad National Urdu University> ke zair e ihtimaam jari pehlay azad Round Robin league cricket Tournament mein mezbaan team ne musalsal doosri kamyabi darj ki hai.",0,1,0,
28,Washington mein muqeem ek Senior maher iqtasadeyat Dilip Ratha neh Bloomberg ko bataya ke is saal Philippine mein tarseelat zar mein qareeban 13 fi sad kami waqay hogi.,<LOC--Washington> mein muqeem ek Senior maher iqtasadeyat <PER--Dilip Ratha> neh <ORG--Bloomberg> ko bataya ke is saal <LOC--Philippine> mein tarseelat zar mein qareeban 13 fi sad kami waqay hogi.,1,1,2,
6,Noujawanoo ko UAE ka muft Visa,Noujawanoo ko <LOC--UAE> ka muft Visa,0,0,1,
31,Sanjay ney kaha ke unhoun ney hukoomat se khwahish ki thi ke wo corona ke ilaaj ko Arogyasree ke tehat laaye taham hukoomat ney is par koi rad-e-amal zahir nahi kiya.,<PER--Sanjay> ney kaha ke unhoun ney hukoomat se khwahish ki thi ke wo corona ke ilaaj ko Arogyasree ke tehat laaye taham hukoomat ney is par koi rad-e-amal zahir nahi kiya.,1,0,0,
58,Shehar Hyderabad mein kills road nojawanon ke liye tafreeh ka aik pasandeeda maqam hai jahan aksar nojawaan taiz raftaar gaadi chillate huwe lutaf andoz hotay hain lekin ab un ke liye khabardaar honay ka waqt agaya hai kyunkay Police ki janib se yahan taiz rafter gaadiyon par qaboo panay ke liye speed guns nasb kiye ja rahay hain.,Shehar <LOC--Hyderabad> mein <LOC--kills road> nojawanon ke liye tafreeh ka aik pasandeeda maqam hai jahan aksar nojawaan taiz raftaar gaadi chillate huwe lutaf andoz hotay hain lekin ab un ke liye khabardaar honay ka waqt agaya hai kyunkay Police ki janib se yahan taiz rafter gaadiyon par qaboo panay ke liye speed guns nasb kiye ja rahay hain.,0,0,2,
16,shehar hyderabad mein mein 6 clock tower moujood hain jo ke taqreeban 150  saal qadeem hain.,shehar <LOC--hyderabad> mein mein 6 clock tower moujood hain jo ke taqreeban 150 saal qadeem hain.,0,0,1,
19,Congress ne Renuka Choudhary ko Khamam se ticket diya tha jo ke –apne ilaqay mein dosray maqam par rahen.,<ORG--Congress> ne <PER--Renuka Choudhary> ko <LOC--Khamam> se ticket diya tha jo ke –apne ilaqay mein dosray maqam par rahen.,1,1,1,
14,"Deve Gowda ko karni thi, Lekin Deve Gowda is ijlaas mein shaamil nahi hue.","<PER--Deve Gowda> ko karni thi, Lekin <PER--Deve Gowda> is ijlaas mein shaamil nahi hue.",2,0,0,
11,Is mehal ki taamer 1826 mein mukammal kar li gayi thi.,Is mehal ki taamer 1826 mein mukammal kar li gayi thi.,0,0,0,
55,"Jab adalat mein judge ne Nirav ko apni baat rakhnay ke liye kaha to woh kehnay lagey agar adalat inhen Hindustan bhejnay ka faisla karti hai to woh khudkushi karlenge, unhon ne kaha Hindustan bhi unkay sath janbadaranah bartav karega aur mein khud insaaf ki umeed na honay ki wajah se Hindustan jana nahi chahta.","Jab adalat mein judge ne <PER--Nirav> ko apni baat rakhnay ke liye kaha to woh kehnay lagey agar adalat inhen <LOC--Hindustan> bhejnay ka faisla karti hai to woh khudkushi karlenge, unhon ne kaha <LOC--Hindustan> bhi unkay sath janbadaranah bartav karega aur mein khud insaaf ki umeed na honay ki wajah se <LOC--Hindustan> jana nahi chahta.",1,0,3,
27,Fleming ke is bayan se Dhoni ke madahon ko tasalii nahi horahee hai kyunkay muqablay mein Dhoni ko oopar anay aur taiz batting karne ki zaroorat thi.,<PER--Fleming> ke is bayan se <PER--Dhoni> ke madahon ko tasalii nahi horahee hai kyunkay muqablay mein <PER--Dhoni> ko oopar anay aur taiz batting karne ki zaroorat thi.,3,0,0,
20,"Police ne bataya ke usay koi khudkushi note dastyab nahi huwa, khudkushi ki wajohaat ka hanooz pata nahi chal saka.","Police ne bataya ke usay koi khudkushi note dastyab nahi huwa, khudkushi ki wajohaat ka hanooz pata nahi chal saka.",0,0,0,
42,SDPI ne markazi aur reyasti hukoomatoun aur khaas tor par adliya par zor diya hai ke wo mutasireen ko insaaf faraham karen aur mustaqbil mein is terhan ki tabahi ki rokk thaam ke liye Delhi aqliati commission ki report par amal kere.,<ORG--SDPI> ne markazi aur reyasti hukoomatoun aur khaas tor par adliya par zor diya hai ke wo mutasireen ko insaaf faraham karen aur mustaqbil mein is terhan ki tabahi ki rokk thaam ke liye <ORG--Delhi aqliati commission> ki report par amal kere.,0,2,0,
19,Singapore ke awam ke zareya mujh par aur party par aetmaad karne par mein fakhar mehsoos kar raha hun.,<LOC--Singapore> ke awam ke zareya mujh par aur party par aetmaad karne par mein fakhar mehsoos kar raha hun.,0,0,1,
27,Kapil Sibal ne CAA ke muamlay mein 9 nakaat ka zikar kiya aur kaha ke hukoomat CAA se munsalik un tamam masail par jhoot bol rahi hai.,<PER--Kapil Sibal> ne CAA ke muamlay mein 9 nakaat ka zikar kiya aur kaha ke hukoomat CAA se munsalik un tamam masail par jhoot bol rahi hai.,1,0,0,
18,Wazeh rahay ke guzashta saal 5 August ko hukoomat ne Kashmir ki khusoosi aayeni hesiyat khatam ki thi.,Wazeh rahay ke guzashta saal 5 August ko hukoomat ne <LOC--Kashmir> ki khusoosi aayeni hesiyat khatam ki thi.,0,0,1,
39,ladkiyon ko nasha aawar paan khlakr un ka istehsal karne ke ghnaone jurm mein police ny aik mutasirah larki ki shikayat par paan ki mashhoor dukaan’ Mayur Pan House’ ke maalik mhndr verma ko grfta ray karliya gaya hai.,ladkiyon ko nasha aawar paan khlakr un ka istehsal karne ke ghnaone jurm mein police ny aik mutasirah larki ki shikayat par paan ki mashhoor dukaan’ <LOC--Mayur Pan House>’ ke maalik <PER--mhndr verma> ko grfta ray karliya gaya hai.,1,0,1,
13,yeh amarat ke bashindon ki samandari sar garmion ka qadeem tareen saboot hai.,yeh amarat ke bashindon ki samandari sar garmion ka qadeem tareen saboot hai.,0,0,0,
11,Scotland mein chor 60 hazar shehad ki makhiyan lekar gayab hogaya,<LOC--Scotland> mein chor 60 hazar shehad ki makhiyan lekar gayab hogaya,0,0,1,
24,"Shehriat tarmeemi act ke nifaz ke liye Uttar Pradesh mulk ki pehli riyasat ban gayi hai, Jis ne is ka amal shuru kiya hai.","Shehriat tarmeemi act ke nifaz ke liye <LOC--Uttar Pradesh> mulk ki pehli riyasat ban gayi hai, Jis ne is ka amal shuru kiya hai.",0,0,1,
20,"Deegar pishrft mein harasan karne walay qanoon ka nifaz, tehweel aur nan nafta se mutaliq qawaneen mein tabdeeli shaamil hai.","Deegar pishrft mein harasan karne walay qanoon ka nifaz, tehweel aur nan nafta se mutaliq qawaneen mein tabdeeli shaamil hai.",0,0,0,
9,Shadion mein bin bulaye maheman corona ko nah bhoolain,Shadion mein bin bulaye maheman corona ko nah bhoolain,0,0,0,
40,Kaankuni case ke muqadma mein sabiq Chief Justice ke aik rishta daar ko rishwat dainay ke ilzamaat ka saamna karne walay qaayed ko Karnataka mein BJP ko Iqtidaar milnay ki soorat mein Deputy Chief Minister banaye janay ki qiyaas aaraiyan.,Kaankuni case ke muqadma mein sabiq Chief Justice ke aik rishta daar ko rishwat dainay ke ilzamaat ka saamna karne walay qaayed ko <LOC--Karnataka> mein <ORG--BJP> ko Iqtidaar milnay ki soorat mein Deputy Chief Minister banaye janay ki qiyaas aaraiyan.,0,1,1,
14,nifty bhi 252.55 point yani 2.14 feesad giravat ke sath 11558.60 par band hua.,nifty bhi 252.55 point yani 2.14 feesad giravat ke sath 11558.60 par band hua.,0,0,0,
19,Captain Shreyas Iyer bhi badi Inning khailnay mein nakaam rahay thay aur woh sirf 23 runs bana sakay thay.,Captain <PER--Shreyas Iyer> bhi badi Inning khailnay mein nakaam rahay thay aur woh sirf 23 runs bana sakay thay.,1,0,0,
9,Dollar ke muqablay rupay mein ye Record giravat hai.,Dollar ke muqablay rupay mein ye Record giravat hai.,0,0,0,
15,Prashant Bhushan ko un ke hauslay aur aala aadershon par mulk salam pesh karta hai.,<PER--Prashant Bhushan> ko un ke hauslay aur aala aadershon par mulk salam pesh karta hai.,1,0,0,
13,Riyadh mein corona ke mareezoun ki dekh bhaal ke liye Robot ki khidmaat,<LOC--Riyadh> mein corona ke mareezoun ki dekh bhaal ke liye Robot ki khidmaat,0,0,1,
48,Unhon ney kaha ke kitabon aur deegar zaraye ke zareya Aurangzeb ki shabeeh ko bigaadney ki koshish ki jarahi hai iss ke rafa ki iss se behtar soorat nahi hosakti ke un ki 400 ween saalgirah par aik Seminar rakhtay huwe haqayiqe ko manzar aam par laya jaye.,Unhon ney kaha ke kitabon aur deegar zaraye ke zareya <PER--Aurangzeb> ki shabeeh ko bigaadney ki koshish ki jarahi hai iss ke rafa ki iss se behtar soorat nahi hosakti ke un ki 400 ween saalgirah par aik Seminar rakhtay huwe haqayiqe ko manzar aam par laya jaye.,1,0,0,
20,"Vijayanne ne kaha ke kisi bhi haalat mein ye CAA agay nahi barh sakta, Lehaza usay wapas liya jana chahiye.","<PER--Vijayanne> ne kaha ke kisi bhi haalat mein ye CAA agay nahi barh sakta, Lehaza usay wapas liya jana chahiye.",1,0,0,
22,King Fahad qaumi library mein 1100 baras qabal Quran pak ka aisa nadir nuskha mehfooz hai jo chamday par likha huwa hai.,King <PER--Fahad> qaumi library mein 1100 baras qabal Quran pak ka aisa nadir nuskha mehfooz hai jo chamday par likha huwa hai.,1,0,0,
15,Saudi Aramco duniya mein kisi bhi doosri company se ziyada tail peda kar rahi hai.,<ORG--Saudi Aramco> duniya mein kisi bhi doosri company se ziyada tail peda kar rahi hai.,0,1,0,
8,Article 370 Jammu Kashmir ko taqseem karta hai,Article 370 <LOC--Jammu Kashmir> ko taqseem karta hai,0,0,1,
13,Ahliat o deegar tafseelaat ke liye University website www.manuu.ac.in dekhi ja sakti hai.,Ahliat o deegar tafseelaat ke liye University website www.manuu.ac.in dekhi ja sakti hai.,0,0,0,
69,is Gaaye ko zibah karne ke liye behar murdaar (dead sea) ke qareeb aik ilaqa mein muqaddas mazbah bhi tayyar kya ja chuka hai aur madniyaat ki aik Israeli company ne tees meter ki lambai mein is terhan tayyar kya hai jaisa ke ehad qadeem mein “mazbah” tha aur is mazbah ko kisi bhi munasib waqt par usay muntakil karte hue Hekal ki tamiraat ke darmyan sajadiya jaye ga.,is Gaaye ko zibah karne ke liye <LOC--behar murdaar> (<LOC--dead sea>) ke qareeb aik ilaqa mein muqaddas mazbah bhi tayyar kya ja chuka hai aur madniyaat ki aik Israeli company ne tees meter ki lambai mein is terhan tayyar kya hai jaisa ke ehad qadeem mein “mazbah” tha aur is mazbah ko kisi bhi munasib waqt par usay muntakil karte hue <LOC--Hekal> ki tamiraat ke darmyan sajadiya jaye ga.,0,0,3,
7,aur un ke masail hal karegi .,aur un ke masail hal karegi .,0,0,0,
25,Tafseelaat ke mutabiq Saudi vision mein kaan kinny ke shobay ke farogh aur qaumi maeeshat mein is ka hissa badhaane par tavajja markooz ki gayi.,Tafseelaat ke mutabiq Saudi vision mein kaan kinny ke shobay ke farogh aur qaumi maeeshat mein is ka hissa badhaane par tavajja markooz ki gayi.,0,0,0,
16,Cyrus azad ke khandan ne dhmakon se mutasirah afraad ko apne ghar mein panah di hai.,<PER--Cyrus azad> ke khandan ne dhmakon se mutasirah afraad ko apne ghar mein panah di hai.,1,0,0,
13,29 April 2018 ko ilaaj ke douran ladki ne dam toadh diya tha.,29 April 2018 ko ilaaj ke douran ladki ne dam toadh diya tha.,0,0,0,
21,Agar Punjab ko kamyabi ki raah par wapas aana hai to usay apni bowling aur batting dono ko behtar banana hoga.,Agar <LOC--Punjab> ko kamyabi ki raah par wapas aana hai to usay apni bowling aur batting dono ko behtar banana hoga.,0,0,1,
45,Judwan shehroun Hyderabad aur secunderabad mein gharelo mulazmeen apni roz maraah ki zaroriat ko poora karne ke liye jad-o-jehad kar rahay hain aur unki baqa khatray mein hai kyunkay ghar walay coronavirus phelnay ke khauf se Khadima ki khidmaat ko browe-car laane ke khilaaf hain.,Judwan shehroun <LOC--Hyderabad> aur <LOC--secunderabad> mein gharelo mulazmeen apni roz maraah ki zaroriat ko poora karne ke liye jad-o-jehad kar rahay hain aur unki baqa khatray mein hai kyunkay ghar walay coronavirus phelnay ke khauf se Khadima ki khidmaat ko browe-car laane ke khilaaf hain.,0,0,2,
25,Is waqea mein mulawis 6 mulzemoun ko giraftar kiya gaya aur unhoun jinsi tor par harasan karne aur qatal karne ke ilzaam aed kiya ya.,Is waqea mein mulawis 6 mulzemoun ko giraftar kiya gaya aur unhoun jinsi tor par harasan karne aur qatal karne ke ilzaam aed kiya ya.,0,0,0,
46,‘E Car Pass’  ke hamileen se khwahish ki gayi ke woh barah Gunmbadaan e Qutub Shahi agay badh kar Golf Club ki simt baen moud len aur Jammali Darwaza ki taraf dayen janib moud kar aur apni gadiyaan Owaisi/GHMC Play Ground par apni gadiyaan park karen.,‘E Car Pass’ ke hamileen se khwahish ki gayi ke woh barah <LOC--Gunmbadaan e Qutub Shahi> agay badh kar <LOC--Golf Club> ki simt baen moud len aur <LOC--Jammali Darwaza> ki taraf dayen janib moud kar aur apni gadiyaan <LOC--Owaisi/GHMC Play Ground> par apni gadiyaan park karen.,0,0,4,
13,"KCR ki reyasti Governor se ki mulaqaat, mukhtalif umoor par ki baat cheet","<PER--KCR> ki reyasti Governor se ki mulaqaat, mukhtalif umoor par ki baat cheet",1,0,0,
10,Waba ke sath hamein hifazati tadabeer apna kar rehna hoga.,Waba ke sath hamein hifazati tadabeer apna kar rehna hoga.,0,0,0,
41,"Ismat reizi aur aurtoun ka aghwa ( kayi waqeat mein riyasat Hyderabad ke bahar hindustani shehron jaisay Sholapur, Nagpur se aakar yeh jaraim kiye gaye ) loot maar, atishzadgi, masajid ki be-hurmati, jabri tabdeeli mazhab, makanaat aur araziyat par qabzay hain.","Ismat reizi aur aurtoun ka aghwa ( kayi waqeat mein riyasat <LOC--Hyderabad> ke bahar hindustani shehron jaisay <LOC--Sholapur>, <LOC--Nagpur> se aakar yeh jaraim kiye gaye ) loot maar, atishzadgi, masajid ki be-hurmati, jabri tabdeeli mazhab, makanaat aur araziyat par qabzay hain.",0,0,3,
12,Dr ne mareez ke masanay se pishaab choos kar iski jaan bachaai,Dr ne mareez ke masanay se pishaab choos kar iski jaan bachaai,0,0,0,
17,Khatoon baar baar haath oopar karte hue is behas ko khatam karne ka mutalba kar rahi hai.,Khatoon baar baar haath oopar karte hue is behas ko khatam karne ka mutalba kar rahi hai.,0,0,0,
14,Nawaz Sharif nay kulsoom Nawaz ki namaz e janaza ke intizamaat ka jaiza liya,<PER--Nawaz Sharif> nay <PER--kulsoom Nawaz> ki namaz e janaza ke intizamaat ka jaiza liya,2,0,0,
17,Aur ab aisa Jamia Millia Islamia ( JMI ) aur Aligarh muslim university ) ke sath huwa.,Aur ab aisa <LOC--Jamia Millia Islamia> ( <LOC--JMI> ) aur <LOC--Aligarh muslim university> ) ke sath huwa.,0,0,3,
12,Taliba hostel mein zahreeley keeray ke katnay se jaan bahaq nahi hui,Taliba hostel mein zahreeley keeray ke katnay se jaan bahaq nahi hui,0,0,0,
15,Hannoun aur Tulkarem ke mabain gaon Shufa nami sadak par muzahiray mein bhi shaamil tha.,<LOC--Hannoun> aur <LOC--Tulkarem> ke mabain gaon Shufa nami sadak par muzahiray mein bhi shaamil tha.,0,0,2,
60,Haj Camp se aazmin Hajj ki rawaangi ki reporting karte hue sihafi hazraat dil par pathar rakh kar yeh likh to dete hain ke rawaangi ke waqt rooh parwar manzar thaiy magar haqiqat toh yeh hai ke Haj Housen Nampally ke ihata mein qaim Haj Camp mein aazmin Hajj ki rawaangi ka jo manzar hota hai woh rooh farsaa hai.,Haj Camp se aazmin Hajj ki rawaangi ki reporting karte hue sihafi hazraat dil par pathar rakh kar yeh likh to dete hain ke rawaangi ke waqt rooh parwar manzar thaiy magar haqiqat toh yeh hai ke <LOC--Haj Housen Nampally> ke ihata mein qaim Haj Camp mein aazmin Hajj ki rawaangi ka jo manzar hota hai woh rooh farsaa hai.,0,0,1,
24,Wizarat tijarat ne ishara diya hai ke Saudioun ke naam se ghair mulkioun ke kaarobar ka maamla suljhanay ke liye 3 bunyadi iqdamaat honge.,Wizarat tijarat ne ishara diya hai ke Saudioun ke naam se ghair mulkioun ke kaarobar ka maamla suljhanay ke liye 3 bunyadi iqdamaat honge.,0,0,0,
30,Telangana jo apne mobayyana tor par kam testing ki wajah se tanqeed ki zad mein tha lekin is nay guzashta kayi haftoun se namonoun ki jaanch mein taizi layi hai.,<LOC--Telangana> jo apne mobayyana tor par kam testing ki wajah se tanqeed ki zad mein tha lekin is nay guzashta kayi haftoun se namonoun ki jaanch mein taizi layi hai.,0,0,1,
