Tokens, ,Tagged,PER_COUNT,ORG_COUNT,LOC_COUNT,,,,,,
170579,,,4904,2640,2457,10001,,,,,
9,lahore walo ko biryani banana sikhaen ge nayapakisyan ik,<LOC--lahore> walo ko biryani banana sikhaen ge nayapakisyan <PER--ik>  ,1,0,1,,,,,,
6,Taleem is waja se zaruri hai,Taleem is waja se zaruri hai,0,0,0,,,,,,
58,ppp had se zyada ghatya jamaat hai sath q leeg k lootey b jo en k sath shamil hoye . en main se koi pakistan ki awaam ka nai sochta . en ki light off main bithao jis tara pk ki awam bardasht kr rahi hai . en ko naani yaad aa jaye . cheeter . ghatya .,<ORG--ppp> had se zyada ghatya jamaat hai sath <ORG--q leeg> k lootey b jo en k sath shamil hoye . en main se koi <LOC--pakistan> ki awaam ka nai sochta . en ki light off main bithao jis tara <LOC--pk> ki awam bardasht kr rahi hai . en ko naani yaad aa jaye . cheeter . ghatya .,0,2,2,,,,,,
4,Yaa Allah madad farma,Yaa Allah madad farma,0,0,0,,,,PER,LOC,ORG
28,"eik saal mein 7600 arab ke tareekhi qarzey, eik arab ke peshawar metro ke khaddey aur eik arab darakhton mein kharbon ki corruption ka hisab kon de ga","eik saal mein 7600 arab ke tareekhi qarzey, eik arab ke <LOC--peshawar> metro ke khaddey aur eik arab darakhton mein kharbon ki corruption ka hisab kon de ga",0,0,1,,,,PER_,LOC_,ORG_
60,chalen phir dikhaty rahen but phir aesa na ho na k parvez ki misery 10 mint k leye dikhaeyn uski misery 2 3 episodes tuk dikhaeyn ... aur mein ye dekh ni raha tha bus traliers se follow kar raha tha phir mein ne episode 21 aur 22 dekhi to mjy a6i lgeen to mein ne dekhna start kar diya,chalen phir dikhaty rahen but phir aesa na ho na k <PER--parvez> ki misery 10 mint k leye dikhaeyn uski misery 2 3 episodes tuk dikhaeyn ... aur mein ye dekh ni raha tha bus traliers se follow kar raha tha phir mein ne episode 21 aur 22 dekhi to mjy a6i lgeen to mein ne dekhna start kar diya,1,0,0,,,,,,
24,udhar sa harna hi aleem khan nai ha awaen mar raha ha ka dhandali nahi hui pmln k sath humari sath b hui ha,udhar sa harna hi <PER--aleem khan> nai ha awaen mar raha ha ka dhandali nahi hui <ORG--pmln> k sath humari sath b hui ha,1,1,0,,,,,,
9,maqbooza kashmir ka bharti muhasirah qabil e muzammat hai,<LOC--maqbooza kashmir> ka bharti muhasirah qabil e muzammat hai,0,0,1,,,,,,
22,ye buht pyara set he mene do dn hoe he lya he cam result is superb 8mp and flash b powerful he,ye buht pyara set he mene do dn hoe he lya he cam result is superb 8mp and flash b powerful he,0,0,0,,,,,,
8,Allah pak in ki zindagi me izafa kare,Allah pak in ki zindagi me izafa kare,0,0,0,,,,,,
18,"Jis ki rou se musalmanan e hind, 2 mumlikatein nahi bal ke aik mumlikat ka mutalba karte hain","Jis ki rou se musalmanan e hind, 2 mumlikatein nahi bal ke aik mumlikat ka mutalba karte hain",0,0,0,,,,,,
27,zardari ko choor kahnay wala IK sanete main zardari kay namzad chairman ko support karay ga ... lol masla corruption nahi bus NS say bughz hai .,<PER--zardari> ko choor kahnay wala <PER--IK> <ORG--sanete> main <PER--zardari> kay namzad chairman ko support karay ga ... lol masla corruption nahi bus <PER--NS> say bughz hai .,4,1,0,,,,,,
20,nadeem malik pmln ma koi indep shamil ho rahy musadiq malik pmln jee boht say indep sa rabty main hain,<PER--nadeem malik> <ORG--pmln> ma koi indep shamil ho rahy <PER--musadiq malik> <ORG--pmln> jee boht say indep sa rabty main hain,2,2,0,,,,,,
14,tum jesy dhokybaaz se dosti kerna meri zindagi ki sb se bari ghalti thi,tum jesy dhokybaaz se dosti kerna meri zindagi ki sb se bari ghalti thi,0,0,0,,,,,,
11,ap geo wale ko to insaf he nahi krna ata hai,ap <ORG--geo> wale ko to insaf he nahi krna ata hai,0,1,0,,,,,,
21,ik ko chiye k shah sab ko bolian izat k sth party se ilada ho jain mufadparst admi hain shah g,<PER--ik> ko chiye k <PER--shah> sab ko bolian izat k sth party se ilada ho jain mufadparst admi hain <PER--shah> g,3,0,0,,,,,,
8,Thanx a lot aunty Caru Amir ke liye,Thanx a lot aunty <PER--Caru> <PER--Amir> ke liye,2,0,0,,,,,,
9,or siraj ul haq ky karain gay sir g,or <PER--siraj ul haq> ky karain gay sir g,1,0,0,,,,,,
9,Farooq Sheikh ki wajah shohrat agarcha art films hain,<PER--Farooq Sheikh> ki wajah shohrat agarcha art films hain,1,0,0,,,,,,
13,agar shak hota hai tu ja kar unn halqon ki awam se pocho,agar shak hota hai tu ja kar unn halqon ki awam se pocho,0,0,0,,,,,,
33,goverment ko chaye ke awam per reham kare aur un ki taraqi aur khushali ka soochy aur is ka lya thoos iqdam kary is tarha kay tax lagany sy kuch nahi ho ga,goverment ko chaye ke awam per reham kare aur un ki taraqi aur khushali ka soochy aur is ka lya thoos iqdam kary is tarha kay tax lagany sy kuch nahi ho ga,0,0,0,,,,,,
12,jon elia tu dekhna ab wohi mqm karachi mein kiya krti ha,<PER--jon elia> tu dekhna ab wohi <ORG--mqm> <LOC--karachi> mein kiya krti ha,1,1,1,,,,,,
14,ye log pagal ho gye hn ik ne inkh rozgar band kr diya ha,ye log pagal ho gye hn <PER--ik> ne inkh rozgar band kr diya ha,1,0,0,,,,,,
19,"70% karachi waley nashai hotey hein, wahan paan aur gutkey se le ker chars tak ka nasha aam hai","70% <LOC--karachi> waley nashai hotey hein, wahan paan aur gutkey se le ker chars tak ka nasha aam hai",0,0,1,,,,,,
29,pmln said hum supreme court ko nahi maanty hum awam ki adalat mai jayen ge aur jb awam ne apna faisla suna diya to wo bhi ni maan rahay,<ORG--pmln> said hum <ORG--supreme court> ko nahi maanty hum awam ki adalat mai jayen ge aur jb awam ne apna faisla suna diya to wo bhi ni maan rahay,0,2,0,,,,,,
15,yai log sirf awaam ko dhoka dy rahy hy sary politition aik page py hy,yai log sirf awaam ko dhoka dy rahy hy sary politition aik page py hy,0,0,0,,,,,,
11,mohsin khan ufffffffff eska drama daikhna mushkil hi nahi namumkin hai,<PER--mohsin khan> ufffffffff eska drama daikhna mushkil hi nahi namumkin hai,1,0,0,,,,,,
27,lolxxxxx had he nhi ho gye uss becharay nanhay se bachay ko bada bhai ban diya or khud nanhay kakay ban gaye naam abi nahi pata bro,lolxxxxx had he nhi ho gye uss becharay nanhay se bachay ko bada bhai ban diya or khud nanhay kakay ban gaye naam abi nahi pata bro,0,0,0,,,,,,
13,chalo ... jiska dil karta ha uth kar writer bun jata ha ...,chalo ... jiska dil karta ha uth kar writer bun jata ha ...,0,0,0,,,,,,
9,pti ko jitwanay k liye de diya logon ne,<ORG--pti> ko jitwanay k liye de diya logon ne,0,1,0,,,,,,
7,tlp na pti ko shikast da dia,<ORG--tlp> na <ORG--pti> ko shikast da dia,0,2,0,,,,,,
22,pti k sath hin plz hamen chorh na dina imran bhai hamare umed ap hin . ap hamesha gharebon ka sath dina,<ORG--pti> k sath hin plz hamen chorh na dina <PER--imran> bhai hamare umed ap hin . ap hamesha gharebon ka sath dina,1,1,0,,,,,,
12,ik pyoo ki olad bano or lahore sw bhi jeet k dkhao,ik pyoo ki olad bano or <LOC--lahore> sw bhi jeet k dkhao,0,0,1,,,,,,
14,ma na phly e kaha tha okara guranwala sialkot ma pti bht kamzor hay,ma na phly e kaha tha <LOC--okara> <LOC--guranwala> <LOC--sialkot> ma <ORG--pti> bht kamzor hay,0,1,3,,,,,,
23,cheemy tere jitni b zimadarian hayn mujy de day main sanbhal lon ga unko waisy kitny hain bta de main tyar ho jaon,<PER--cheemy> tere jitni b zimadarian hayn mujy de day main sanbhal lon ga unko waisy kitny hain bta de main tyar ho jaon,1,0,0,,,,,,
4,CM House Me Ijlaas,<LOC--CM House> Me Ijlaas,0,0,1,,,,,,
5,allah karey k kamyab hojae,allah karey k kamyab hojae,0,0,0,,,,,,
18,mashaallah sir allah aap ko buhat izzat day aameen mashaallah sir maza aa gaya apki baat sun ker,mashaallah sir allah aap ko buhat izzat day aameen mashaallah sir maza aa gaya apki baat sun ker,0,0,0,,,,,,
4,Laptop wala mein hoon,Laptop wala mein hoon,0,0,0,,,,,,
21,kuch bhi ho punjab mn govt hamari honi chahiye jahangir khan tareen sir aap say bohat umeed hai inshaallah allah ke,kuch bhi ho <LOC--punjab> mn govt hamari honi chahiye <PER--jahangir khan tareen> sir aap say bohat umeed hai inshaallah allah ke,1,0,1,,,,,,
7,koi thanks bol daen meri tarf sy,koi thanks bol daen meri tarf sy,0,0,0,,,,,,
17,juram sy nafrat krty hain insaan sy nai jahangeer tareen mujram hain but ik insaan b hain,juram sy nafrat krty hain insaan sy nai <PER--jahangeer tareen> mujram hain but ik insaan b hain,1,0,0,,,,,,
18,Karachi mein chpte barhe accidents mein guzishta 1 saal ke dauran 644 afraad halaak aur 7461 zakhmi hue.,<LOC--Karachi> mein chpte barhe accidents mein guzishta 1 saal ke dauran 644 afraad halaak aur 7461 zakhmi hue.,0,0,1,,,,,,
17,Wo bolay k aap ye E-Knights ki robot istemaal farma rahay hain jis ki ijazat nahi hai.,Wo bolay k aap ye <ORG--E-Knights> ki robot istemaal farma rahay hain jis ki ijazat nahi hai.,0,1,0,,,,,,
15,Aslam ko internet banking account hack honey ki wajah se croron ka nuqsan uthana para,<PER--Aslam> ko internet banking account hack honey ki wajah se croron ka nuqsan uthana para,1,0,0,,,,,,
11,larka english boli ja raha or larki urduye kia baqwas hai?,larka english boli ja raha or larki urduye kia baqwas hai?,0,0,0,,,,,,
26,sab kuch kar k dekha leya z9 plus play store se kuch be update and download nai kar raha keya problems ha is mobile me .,sab kuch kar k dekha leya z9 plus play store se kuch be update and download nai kar raha keya problems ha is mobile me .,0,0,0,,,,,,
11,Is ke bar aks in ka rujhaan acting ki janib tha,Is ke bar aks in ka rujhaan acting ki janib tha,0,0,0,,,,,,
33,asalaam u alykum . mere khiyal mein aap ko apni choutiyan kisi sehet afza muqam mein guzarni chah hi ain jahan aap dianwi ilam bhi hasil kar sakain . fi amaan i allah,asalaam u alykum . mere khiyal mein aap ko apni choutiyan kisi sehet afza muqam mein guzarni chah hi ain jahan aap dianwi ilam bhi hasil kar sakain . fi amaan i allah,0,0,0,,,,,,
28,dil hi dil mai pti walo ko b pta hai dhandhli ho rhi hai lekin dhandli un k haq mai ho rhi hai to dhandli dhandli ni hai,dil hi dil mai <ORG--pti> walo ko b pta hai dhandhli ho rhi hai lekin dhandli un k haq mai ho rhi hai to dhandli dhandli ni hai,0,1,0,,,,,,
9,meri maso ka hath ka ho too my fvrt,meri maso ka hath ka ho too my fvrt,0,0,0,,,,,,
16,reham khan hahaha apko takleef kiya ho rhi hy mam apka kiya len den pti sy,<PER--reham khan> hahaha apko takleef kiya ho rhi hy mam apka kiya len den <ORG--pti> sy,1,1,0,,,,,,
23,imran khan pehle pm honge jinho ne anginit females k dil par raaj kiya hai is mamle me pakistan ne baazi maar li,<PER--imran khan> pehle pm honge jinho ne anginit females k dil par raaj kiya hai is mamle me <LOC--pakistan> ne baazi maar li,1,0,1,,,,,,
20,Allah ka karm ham pr ka Allah ne hamien aisy alam ba amal ata farmyAur en k ilawa jitny bAlhamdulilha,Allah ka karm ham pr ka Allah ne hamien aisy alam ba amal ata farmyAur en k ilawa jitny bAlhamdulilha,0,0,0,,,,,,
8,Nai dono hi fb pr nai hyn ‚,Nai dono hi fb pr nai hyn ‚,0,0,0,,,,,,
8,hehe apko pta yeh kis ne edit ki?,hehe apko pta yeh kis ne edit ki?,0,0,0,,,,,,
24,nayapakistan ma punjab ki hukumaat sazi ka lia tehreek e insaf ka ch muhammad sarwar ki shia sunni musalmano ka qatil alam se rabta,naya<LOC--pakistan> ma <LOC--punjab> ki hukumaat sazi ka lia <ORG--tehreek e insaf> ka c<PER--h muhammad sarwar> ki shia sunni musalmano ka qatil alam se rabta,1,1,2,,,,,,
23,haaton ko milk mein daal tu den lekin us k baad jo ammi bolengi k sara milk kharab ker dia phir kia karen?:wk,haaton ko milk mein daal tu den lekin us k baad jo ammi bolengi k sara milk kharab ker dia phir kia karen?:wk,0,0,0,,,,,,
